Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		30366	65100		0.703000	
		30395	65200		0.700000	
		30430	65300		0.705000	
		30450	65400		0.702000	
		30467	65500		0.722000	
		30488	65600		0.742000	
		30511	65700		0.777000	
		30543	65800		0.839000	
		30574	65900		0.868000	
		30603	66000		0.859000	
		30623	66100		0.873000	
		30653	66200		0.894000	
		30681	66300		0.938000	
		30708	66400		0.958000	
		30736	66500		0.978000	
		30770	66600		0.988000	
		30789	66700		0.942000	
		30816	66800		0.927000	
		30841	66900		0.905000	
		30863	67000		0.910000	
		30896	67100		0.914000	
		30921	67200		0.873000	
		30944	67300		0.809000	
		30972	67400		0.815000	
		31001	67500		0.802000	
		31024	67600		0.776000	
		31055	67700		0.814000	
		31082	67800		0.808000	
		31111	67900		0.807000	
		31130	68000		0.771000	
		31153	68100		0.762000	
		31169	68200		0.731000	
		31192	68300		0.713000	
		31218	68400		0.751000	
		31245	68500		0.743000	
		31276	68600		0.773000	
		31299	68700		0.749000	
		31322	68800		0.713000	
		31352	68900		0.725000	
		31377	69000		0.763000	
		31402	69100		0.775000	
		31435	69200		0.818000	
		31462	69300		0.838000	
		31492	69400		0.792000	
		31516	69500		0.775000	
		31541	69600		0.759000	
		31565	69700		0.773000	
		31587	69800		0.759000	
		31610	69900		0.778000	
		31632	70000		0.751000	
		31653	70100		0.728000	
		31677	70200		0.712000	
		31695	70300		0.684000	
		31719	70400		0.690000	
		31746	70500		0.706000	
		31782	70600		0.740000	
		31814	70700		0.767000	
		31838	70800		0.802000	
		31864	70900		0.807000	
		31889	71000		0.867000	
		31911	71100		0.872000	
		31939	71200		0.904000	
		31957	71300		0.922000	
		31987	71400		0.931000	
		32012	71500		0.935000	
		32035	71600		0.899000	
		32054	71700		0.841000	
		32073	71800		0.818000	
		32097	71900		0.794000	
		32120	72000		0.736000	
		32141	72100		0.741000	
		32178	72200		0.742000	
		32200	72300		0.739000	
		32222	72400		0.693000	
		32248	72500		0.693000	
		32272	72600		0.686000	
		32293	72700		0.693000	
		32321	72800		0.721000	
		32346	72900		0.729000	
		32368	73000		0.726000	
		32397	73100		0.768000	
		32420	73200		0.719000	
		32443	73300		0.732000	
		32468	73400		0.766000	
		32495	73500		0.750000	
		32511	73600		0.720000	
		32529	73700		0.713000	
		32551	73800		0.687000	
		32579	73900		0.676000	
		32605	74000		0.700000	
		32626	74100		0.660000	
		32652	74200		0.685000	
		32682	74300		0.701000	
		32705	74400		0.692000	
		32718	74500		0.672000	
		32737	74600		0.685000	
		32760	74700		0.716000	
		32792	74800		0.758000	
		32811	74900		0.727000	
		32835	75000		0.743000	
		32860	75100		0.741000	
		32877	75200		0.723000	
		32900	75300		0.728000	
		32921	75400		0.706000	
		32942	75500		0.737000	
		32962	75600		0.716000	
		32995	75700		0.753000	
		33016	75800		0.721000	
		33041	75900		0.746000	
		33063	76000		0.706000	
		33083	76100		0.721000	
		33104	76200		0.729000	
		33133	76300		0.706000	
		33156	76400		0.761000	
		33182	76500		0.780000	
		33207	76600		0.805000	
		33238	76700		0.751000	
		33266	76800		0.800000	
		33288	76900		0.796000	
		33312	77000		0.809000	
		33339	77100		0.790000	
		33366	77200		0.804000	
		33393	77300		0.815000	
		33425	77400		0.801000	
		33446	77500		0.761000	
		33483	77600		0.802000	
		33502	77700		0.778000	
		33524	77800		0.722000	
		33548	77900		0.699000	
		33571	78000		0.706000	
		33599	78100		0.736000	
		33624	78200		0.721000	
		33649	78300		0.698000	
		33678	78400		0.692000	
		33706	78500		0.717000	
		33734	78600		0.717000	
		33758	78700		0.732000	
		33782	78800		0.751000	
		33807	78900		0.791000	
		33835	79000		0.785000	
		33860	79100		0.769000	
		33880	79200		0.751000	
		33899	79300		0.754000	
		33923	79400		0.735000	
		33942	79500		0.720000	
		33961	79600		0.667000	
		33982	79700		0.677000	
		34009	79800		0.663000	
		34030	79900		0.632000	
		34056	80000		0.637000	
		34080	80100		0.636000	
		34107	80200		0.669000	
		34129	80300		0.672000	
		34153	80400		0.681000	
		34173	80500		0.668000	
		34191	80600		0.676000	
		34212	80700		0.659000	
		34225	80800		0.647000	
		34245	80900		0.635000	
		34265	81000		0.615000	
		34288	81100		0.609000	
		34312	81200		0.598000	
		34332	81300		0.574000	
		34349	81400		0.576000	
		34370	81500		0.575000	
		34388	81600		0.565000	
		34413	81700		0.631000	
		34439	81800		0.647000	
		34460	81900		0.653000	
		34482	82000		0.657000	
		34499	82100		0.670000	
		34524	82200		0.668000	
		34555	82300		0.687000	
		34586	82400		0.704000	
		34610	82500		0.710000	
		34631	82600		0.744000	
		34655	82700		0.721000	
		34677	82800		0.715000	
		34691	82900		0.709000	
		34711	83000		0.713000	
		34737	83100		0.701000	
		34771	83200		0.733000	
		34790	83300		0.742000	
		34806	83400		0.705000	
		34832	83500		0.725000	
		34851	83600		0.703000	
		34879	83700		0.677000	
		34895	83800		0.657000	
		34918	83900		0.687000	
		34944	84000		0.739000	
		34972	84100		0.780000	
		34990	84200		0.730000	
		35001	84300		0.681000	
		35042	84400		0.786000	
		35063	84500		0.793000	
		35089	84600		0.803000	
		35113	84700		0.791000	
		35135	84800		0.845000	
		35156	84900		0.833000	
		35173	85000		0.767000	
		35195	85100		0.707000	
		35222	85200		0.721000	
		35245	85300		0.775000	
		35269	85400		0.688000	
		35299	85500		0.675000	
		35322	85600		0.668000	
		35353	85700		0.695000	
		35372	85800		0.653000	
		35407	85900		0.782000	
		35428	86000		0.785000	
		35454	86100		0.811000	
		35481	86200		0.828000	
		35496	86300		0.811000	
		35518	86400		0.873000	
		35541	86500		0.875000	
		35560	86600		0.872000	
		35582	86700		0.847000	
		35602	86800		0.859000	
		35620	86900		0.735000	
		35645	87000		0.744000	
		35664	87100		0.732000	
		35687	87200		0.716000	
		35708	87300		0.732000	
		35732	87400		0.660000	
		35755	87500		0.649000	
		35780	87600		0.765000	
		35802	87700		0.772000	
		35819	87800		0.753000	
		35845	87900		0.741000	
		35865	88000		0.730000	
		35894	88100		0.750000	
		35917	88200		0.744000	
		35936	88300		0.730000	
		35952	88400		0.716000	
		35966	88500		0.710000	
		35994	88600		0.603000	
		36019	88700		0.603000	
		36032	88800		0.588000	
		36057	88900		0.671000	
		36073	89000		0.683000	
