ocreval Accuracy Report Version 7.0
-----------------------------------
  314118   Characters
    4983   Errors
   98.41%  Accuracy

       9   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   98.42%  Accuracy After Correction

     Ins    Subst      Del   Errors
       2        0   {}-{¥}
       2        0   {}-{§}
       2        0   {}-{©}
       2        0   {}-{³ }
       2        0   {}-{½¼}
       2        0   {}-{’ }
       2        0   {}-{⁶³}
       2        0   {}-{⁸}
       2        0   {}}-{]}
       2        0   {¥v}-{¾w}
       2        0   {§§}-{88}
       2        0   {·³}-{⁵}
       2        0   {¼ }-{}
       2        0   {¼ }-{¾}
       2        0   {’s}-{}
       2        0   {“}-{"³}
       2        0   {“}-{‘⁶}
       2        0   {“⁵}-{"³}
       2        0   {”}-{ "}
       2        0   {”}-{}
       2        0   {”}-{“}
       2        0   {⁰.}-{°}
       2        0   {⁰}-{0}
       2        0   {⁰}-{⁹°}
       2        0   {⁵}-{⁶⁶}
       2        0   {⁵”}-{™}
       2        0   {⁶}-{⁸}
       2        0   {⁷}-{”}
       2        0   {⁸}-{⁹⁶}
       2        0   {⁹}-{°}
       1        1   {#}-{~}
       1        1   {-}-{~}
       1        1   {—}-{~}
       1        1   {“}-{~}
       1        1   {”}-{~}
       1        0   {!}-{J}
       1        0   {"}-{“}
       1        0   {$}-{s}
       1        0   {%}-{g}
       1        0   {%}-{§}
       1        0   {%}-{°}
       1        0   {%}-{¾}
       1        0   {%}-{₹}
       1        0   {'}-{m}
       1        0   {)}-{}
       1        0   {*}-{¹}
       1        0   {+}-{*}
       1        0   {,}-{.}
       1        0   {.}-{,}
       1        0   {.}-{;}
       1        0   {.}-{A}
       1        0   {0}-{©}
       1        0   {1}-{r}
       1        0   {1}-{}
       1        0   {4}-{+}
       1        0   {8}-{§}
       1        0   {:}-{s}
       1        0   {;}-{,}
       1        0   {?}-{³}
       1        0   {?}-{⁸}
       1        0   {C}-{E}
       1        0   {C}-{©}
       1        0   {D}-{P}
       1        0   {E}-{1}
       1        0   {G}-{C}
       1        0   {H}-{I}
       1        0   {I}-{H}
       1        0   {I}-{T}
       1        0   {J}-{Y}
       1        0   {J}-{]}
       1        0   {J}-{f}
       1        0   {T}-{H}
       1        0   {T}-{I}
       1        0   {U}-{[}
       1        0   {U}-{}
       1        0   {W}-{M}
       1        0   {Z}-{2}
       1        0   {Z}-{Y}
       1        0   {[}-{l}
       1        0   {\}-{|}
       1        0   {]}-{)}
       1        0   {_}-{-}
       1        0   {c}-{C}
       1        0   {e}-{c}
       1        0   {e}-{g}
       1        0   {f}-{J}
       1        0   {l}-{[}
       1        0   {l}-{i}
       1        0   {n}-{X}
       1        0   {o}-{0}
       1        0   {r}-{n}
       1        0   {r}-{}
       1        0   {t}-{H}
       1        0   {t}-{r}
       1        0   {t}-{u}
       1        0   {t}-{₹}
       1        0   {v}-{n}
       1        0   {w}-{a}
       1        0   {x}-{}
       1        0   {y}-{M}
       1        0   {z}-{x}
       1        0   {|}-{I}
       1        0   {}-{%}
