ocreval Accuracy Report Version 7.0
-----------------------------------
  334062   Characters
   19809   Errors
   94.07%  Accuracy

       3   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   94.07%  Accuracy After Correction

     Ins    Subst      Del   Errors
       1        0   {¹}-{1}
       1        0   {¹}-{³}
       1        0   {¹}-{’}
       1        0   {¼}-{¾}
       1        0   {’}-{³}
       1        0   {”}-{‘}
       1        0   {”}-{’}
       1        0   {•}-{·}
       1        0   {⁰}-{⁸}
       1        0   {⁴}-{*}
       1        0   {⁴}-{}
       1        0   {⁴}-{®}
       1        0   {⁵}-{S}
       1        0   {⁶}-{‘}
       1        0   {⁷}-{}
       1        0   {⁸}-{ }
       1        0   {⁸}-{®}
       1        0   {⁸}-{⁰}
       1        0   {⁸}-{⁵}
       1        0   {⁹}-{9}
       1        0   {⁹}-{}
       1        0   {⁹}-{²}
       1        0   {⁹}-{⁵}
       1        0   {⁹}-{⁷}

   Count   Missed   %Right
    4034        2    99.95   {<\n>}
   45680      441    99.03   { }
     134        1    99.25   {!}
     268       26    90.30   {"}
     134        2    98.51   {#}
      67        3    95.52   {$}
     201       44    78.11   {%}
     670       26    96.12   {'}
    1273        0   100.00   {(}
    1273        1    99.92   {)}
     335        9    97.31   {*}
     871        1    99.89   {+}
    2814        4    99.86   {,}
    5025     2262    54.99   {-}
    4422      170    96.16   {.}
    1005       46    95.42   {/}
    2814       13    99.54   {0}
    2479        7    99.72   {1}
    1273        0   100.00   {2}
    1273        1    99.92   {3}
    1139        4    99.65   {4}
     938        5    99.47   {5}
     536        0   100.00   {6}
     737        0   100.00   {7}
    1072        1    99.91   {8}
     938        7    99.25   {9}
    2144        5    99.77   {:}
     268        0   100.00   {;}
     737        2    99.73   {=}
     536        1    99.81   {>}
     201        2    99.00   {?}
     134        2    98.51   {@}
    5963        2    99.97   {A}
    2211        0   100.00   {B}
    4154        0   100.00   {C}
    3417        0   100.00   {D}
    8308        6    99.93   {E}
    2010        4    99.80   {F}
    2680        4    99.85   {G}
    3015        5    99.83   {H}
    6097       73    98.80   {I}
     536       10    98.13   {J}
     871        2    99.77   {K}
    3417        2    99.94   {L}
    2613        1    99.96   {M}
    4757        1    99.98   {N}
    5695       18    99.68   {O}
    2412        0   100.00   {P}
     201        1    99.50   {Q}
    4891        1    99.98   {R}
